1.0 0.005
0.95 0.0098
0.9 0.0142
0.85 0.0188
0.8 0.0227
0.75 0.0268
0.7 0.0303
0.65 0.0338
0.6 0.0368
0.55 0.0392
0.5 0.0411
0.45 0.0429
0.4 0.0446
0.35 0.0463
0.3 0.0473
0.275 0.0476
0.25 0.0473
0.225 0.0468
0.2 0.046
0.175 0.0453
0.15 0.0443
0.125 0.043
0.1 0.041
0.08 0.0384
0.07 0.0366
0.06 0.0342
0.05 0.0314
0.04 0.0287
0.03 0.0248
0.025 0.0227
0.02 0.0201
0.015 0.0173
0.01 0.014
0.005 0.0098
0.002 0.0058
0.001 0.0036
0.0 0.0
0.0 0.0
0.001 -0.0026
0.002 -0.0037
0.005 -0.0061
0.01 -0.0085
0.015 -0.0102
0.02 -0.0119
0.025 -0.0131
0.03 -0.0145
0.04 -0.0169
0.05 -0.0188
0.06 -0.02
0.07 -0.0212
0.08 -0.0222
0.1 -0.0239
0.125 -0.0248
0.15 -0.0254
0.175 -0.0258
0.2 -0.0254
0.225 -0.0248
0.25 -0.0236
0.275 -0.0219
0.3 -0.0198
0.35 -0.0158
0.4 -0.0111
0.45 -0.006
0.5 -0.0023
0.55 -0.0006
0.6 0.0003
0.65 0.0011
0.7 0.0013
0.75 0.0011
0.8 0.0004
0.85 -0.0002
0.9 -0.0016
0.95 -0.0031
1.0 -0.005
